,Image,Phone Name,Price,Specification,Rating
917,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/h/j/phantom-x2-pro-ad9-tecno-original-imagnvx3qvzcetfv.jpeg?q=70,"Tecno Phantom X2 Pro (Mars Orange, 256 GB)","₹44,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Display50MP + 50MP + 13MP | 32MP Front Camera5160 mAh BatteryMediaTek Dimensity 9000 MT6983 ProcessorDomestic Warranty of 12 Months on Phone & 6 Months on Accessories,3.6
918,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/0/l/z92-na-lava-original-imagzfjnqftggsys.jpeg?q=70,"LAVA Z92 (Gold, 32 GB)","₹5,899",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB15.8 cm (6.22 inch) HD+ Display13MP Rear Camera | 8MP Front Camera3260 mAh BatteryMediaTek Helio P22 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,4.1
919,https://rukminim2.flixcart.com/image/312/312/ktn9pjk0/mobile/k/r/a/hot-11s-x6812-64-4-infinix-original-imag6xq6wa6ptgex.jpeg?q=70,"Infinix Hot 11S (Polar Black, 64 GB)","₹10,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB17.22 cm (6.78 inch) Full HD+ Display50MP + 2MP + AI Lens | 8MP Front Camera5000 mAh Li-ion Polymer BatteryMediaTek Helio G88 Processor90Hz Refresh Rate18W Type C, Fast Charger1 Year on Handset and 6 Months on Accessories",4.3
920,https://rukminim2.flixcart.com/image/312/312/l0zm64w0/mobile/q/y/j/-original-imagcnu2pky7thvx.jpeg?q=70,"itel Vision 3 (Jewel Blue, 64 GB)","₹8,999","3 GB RAM | 64 GB ROM | Expandable Upto 128 GB16.76 cm (6.6 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryUnisoc 9863A Processor18W Fast ChargingDual Security- Fast Fingerprint sensor and Face unlock for enhanced securityOne Time Screen Replacement Within 100 Days of Purchase, 1 Year Warranty on Mobile Device & 6 Months on Accessories",4
921,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/y/p/12c-22120rn86i-redmi-original-imagzfb2bsg8yhcz.jpeg?q=70,"REDMI 12c (Royal Blue, 128 GB)","₹10,540",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediaTek Helio G85 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2
922,https://rukminim2.flixcart.com/image/312/312/kfvfwy80/mobile/x/p/b/poco-c3-mzb07rhin-original-imafw8zkfygmfgfr.jpeg?q=70,"POCO C3 (Matte Black, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Helio G35 Processor1 Year on Handset and 6 Months on Accessories,4.3
923,https://rukminim2.flixcart.com/image/312/312/knoxnrk0/mobile/4/b/p/m2-reloaded-mzb0957in-poco-original-imag2aqyhdfvsty8.jpeg?q=70,"POCO M2 Reloaded (Greyish Black, 64 GB)","₹11,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display13MP + 8MP + 5MP + 2MP | 8MP Front Camera5000 mAh Lithium Polymer BatteryMediaTek Helio G80 Processor1 Year for Handset, 6 Months for Accessories",4.3
924,https://rukminim2.flixcart.com/image/312/312/kv6zvrk0/mobile/5/s/q/a55-cph2325-oppo-original-imag85qscagksyyz.jpeg?q=70,"OPPO A55 (Rainbow Blue, 64 GB)","₹14,799",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio G35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,4.3
925,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/r/b/nord-ce-3-lite-5g-ce2099-oneplus-original-imagzj42cctpjjze.jpeg?q=70,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹21,999",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.3
926,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/5/6/blaze-nxt-lzx407-lava-original-imagzcpq4yg2phvq.jpeg?q=70,"LAVA Blaze Nxt (Glass Red, 64 GB)","₹9,389",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryMediaTek G37 Processor1 Year Handset Warranty and 6 Months Warranty on Accessories,4.1
